eta,paso,particula_id,x,y,vx,vy,theta,omega
1.897368,4500,80,2.089501,16.374017,0.744159,-0.658062,-0.848286,-0.079814
1.897368,4500,81,6.836986,19.454781,0.589314,-0.799619,-0.916509,0.207852
1.897368,4500,82,17.863604,1.192271,0.712177,-0.690326,-1.045637,-0.582167
1.897368,4500,83,10.876863,18.965173,0.763709,-0.642969,-0.737589,-0.01649
1.897368,4500,84,0.912914,4.9181,0.688838,-0.714634,-0.9513,0.169297
1.897368,4500,85,11.078261,5.26729,0.716664,-0.6864,-0.677227,0.115635
1.897368,4500,86,17.945316,0.209953,0.791102,-0.579115,-0.447037,-0.444376
1.897368,4500,87,10.521626,10.826544,0.816226,-0.556083,-0.532773,-0.601116
1.897368,4500,88,11.396724,16.112299,0.829588,-0.556471,-0.668431,-0.245398
1.897368,4500,89,17.565825,17.704903,0.74365,-0.660865,-0.743374,0.014637
1.897368,4500,90,15.451308,15.710473,0.764858,-0.603907,-0.494947,-0.667654
1.897368,4500,91,16.321331,2.819612,0.696561,-0.697973,-0.94573,0.603113
1.897368,4500,92,1.740968,10.711,0.636464,-0.752972,-0.733242,0.726056
1.897368,4500,93,10.442473,13.089452,0.649553,-0.736169,-0.735954,0.345756
1.897368,4500,94,7.15826,4.480221,0.692684,-0.710185,-0.799466,0.353662
1.897368,4500,95,15.871032,2.032467,0.613181,-0.760505,-0.750943,0.992609
1.897368,4500,96,1.303119,0.183113,0.55613,-0.792924,-1.109012,0.964857
1.897368,4500,97,19.597644,4.98069,0.649019,-0.742465,-0.852554,0.449514
1.897368,4500,98,12.663444,9.176887,0.753366,-0.653649,-0.779386,0.01462
1.897368,4500,99,14.943794,12.112762,0.666402,-0.727471,-0.689028,0.511474
1.897368,4500,100,5.654029,17.064002,0.64716,-0.754673,-0.943247,0.247663
1.897368,4500,101,8.839333,10.55701,0.800324,-0.581668,-0.568461,-0.272335
1.897368,4500,102,8.661489,16.419904,0.717542,-0.679449,-0.946719,-0.45088
1.897368,4500,103,4.892454,0.229459,0.788192,-0.585416,-0.44395,-0.294311
1.897368,4500,104,1.979624,2.377761,0.757732,-0.614765,-0.572107,-0.260972
1.897368,4500,105,9.175201,6.703134,0.731377,-0.679324,-0.726166,0.128366
1.897368,4500,106,18.712182,2.329063,0.793305,-0.587195,-0.835428,-0.273368
1.897368,4500,107,5.789841,18.114581,0.785818,-0.602461,-0.504449,-0.200065
1.897368,4500,108,3.090209,18.261867,0.776366,-0.609742,-0.569824,-0.190385
1.897368,4500,109,11.881225,18.017503,0.753147,-0.639839,-0.594594,-0.483974
1.897368,4500,110,11.481214,19.611165,0.725138,-0.673464,-0.877517,0.136247
1.897368,4500,111,9.329598,19.184646,0.718461,-0.693093,-0.813692,0.124487
1.897368,4500,112,8.53216,0.797776,0.847515,-0.483552,-0.274564,-0.396005
1.897368,4500,113,7.202854,19.938361,0.699485,-0.655726,-0.92268,0.793337
1.897368,4500,114,12.233769,5.454255,0.730058,-0.672549,-0.576158,0.053006
1.897368,4500,115,14.312302,18.513571,0.780796,-0.612501,-0.672689,-0.691386
1.897368,4500,116,6.988326,9.740843,0.774716,-0.608424,-0.545944,-0.527628
1.897368,4500,117,14.643539,8.352668,0.685533,-0.71649,-0.792528,0.443738
1.897368,4500,118,9.362981,4.317025,0.679935,-0.730029,-0.778995,0.130936
1.897368,4500,119,1.834125,16.593206,0.732955,-0.653836,-0.77404,0.570023
1.897368,4500,120,7.905141,3.807861,0.787058,-0.574736,-0.515441,-0.24122
1.897368,4500,121,6.324806,13.818202,0.785074,-0.586567,-0.480735,-0.234238
1.897368,4500,122,5.636345,3.058504,0.814831,-0.554023,-0.872143,-0.556833
1.897368,4500,123,4.695565,2.972341,0.681264,-0.724675,-0.708908,0.265477
1.897368,4500,124,3.842369,19.730306,0.779267,-0.576248,-0.414191,0.274652
1.897368,4500,125,1.342274,1.297894,0.773477,-0.603869,-0.874807,-0.215682
1.897368,4500,126,3.904807,6.349138,0.678737,-0.729731,-0.752776,0.286236
1.897368,4500,127,10.467704,19.523475,0.760873,-0.641964,-0.733815,0.02528
1.897368,4500,128,3.183687,0.881822,0.830386,-0.53867,-0.638259,0.236185
1.897368,4500,129,12.807223,10.026433,0.770632,-0.628398,-0.728064,0.469069
1.897368,4500,130,19.933427,0.647742,0.783477,-0.615574,-0.682353,-0.080906
1.897368,4500,131,8.541972,14.463429,0.710898,-0.693796,-0.649886,0.50327
1.897368,4500,132,13.983039,7.077311,0.744004,-0.656376,-0.493543,0.214675
1.897368,4500,133,0.423114,4.792679,0.846284,-0.50801,-0.606132,-0.825339
1.897368,4500,134,11.393189,9.797625,0.705115,-0.703958,-0.846368,-0.014282
1.897368,4500,135,7.600687,0.525784,0.612707,-0.774923,-0.971147,0.284589
1.897368,4500,136,2.684481,9.385622,0.595709,-0.783275,-0.791102,0.151042
1.897368,4500,137,6.090643,13.71228,0.743296,-0.665816,-0.662822,-0.004951
1.897368,4500,138,7.951993,15.75075,0.721931,-0.687208,-0.933683,-0.332452
1.897368,4500,139,1.151617,12.785135,0.810276,-0.578738,-0.760421,-0.785364
1.897368,4500,140,0.440925,16.482221,0.819613,-0.527803,-0.765326,-0.50438
1.897368,4500,141,5.039713,8.560497,0.741188,-0.655287,-0.91562,0.030225
1.897368,4500,142,9.318024,4.477618,0.649983,-0.747926,-0.862337,0.394322
1.897368,4500,143,10.824428,15.210256,0.65418,-0.714725,-0.611683,0.269495
1.897368,4500,144,4.261198,18.892477,0.756816,-0.627618,-0.680128,0.642996
1.897368,4500,145,5.825945,12.849606,0.752649,-0.654378,-0.703712,0.008003
1.897368,4500,146,14.548482,19.521538,0.743186,-0.658694,-0.883086,0.053243
1.897368,4500,147,9.313137,10.91375,0.691145,-0.687863,-0.477993,0.545438
1.897368,4500,148,10.933625,11.66244,0.628452,-0.758739,-0.786378,0.734175
1.897368,4500,149,2.974999,2.520585,0.796405,-0.577346,-0.899128,-0.539314
1.794737,4500,0,7.476248,18.1243,-0.293309,-0.940231,-1.935434,0.347494
1.794737,4500,1,15.394166,14.899543,-0.155768,-0.980695,-1.852528,-0.103813
1.794737,4500,2,4.77889,9.029886,-0.314668,-0.927982,-1.962369,0.309886
1.794737,4500,3,0.385066,19.112116,-0.27523,-0.951268,-1.925784,-0.046762
1.794737,4500,4,10.385281,0.774347,-0.210916,-0.96819,-1.667279,-0.030223
1.794737,4500,5,10.571855,15.324081,-0.144175,-0.982458,-1.902387,-0.042866
1.794737,4500,6,15.391063,12.633842,-0.193797,-0.97539,-1.598241,0.502677
1.794737,4500,7,15.235812,1.89707,-0.151715,-0.986591,-1.670668,0.174291
1.794737,4500,8,18.228182,6.730831,-0.214926,-0.953398,-2.060209,0.135825
1.794737,4500,9,5.587504,16.239839,-0.11219,-0.987361,-1.809145,-0.036666
1.794737,4500,10,15.62718,10.125462,-0.332817,-0.927342,-1.679236,0.495662
1.794737,4500,11,9.933323,10.890059,-0.149443,-0.98482,-1.641398,0.2877
1.794737,4500,12,0.517195,8.154689,-0.259835,-0.954537,-1.707489,0.040158
1.794737,4500,13,17.266194,19.09308,-0.044723,-0.972048,-1.480939,-0.353103
1.794737,4500,14,11.339882,19.022588,-0.213986,-0.973821,-1.745036,0.163862
1.794737,4500,15,14.637269,14.463837,-0.143375,-0.983065,-1.502562,0.341698
1.794737,4500,16,14.712399,18.195679,-0.14449,-0.976191,-1.538185,-0.168146
1.794737,4500,17,14.687975,7.797575,-0.122103,-0.981677,-1.744187,-0.16963
1.794737,4500,18,4.557536,10.641001,-0.23796,-0.970379,-1.723812,0.574498
1.794737,4500,19,14.675504,1.609887,-0.257767,-0.960981,-1.769247,0.395548
1.794737,4500,20,9.796061,15.342153,-0.151197,-0.976711,-2.015082,-0.302108
1.794737,4500,21,17.557421,7.699158,-0.218572,-0.973795,-1.674415,0.089408
1.794737,4500,22,16.988999,7.110805,-0.272686,-0.94877,-1.802976,0.304835
1.794737,4500,23,11.312764,10.225944,-0.290759,-0.954464,-1.8395,0.217828
1.794737,4500,24,4.004694,2.403416,-0.182654,-0.979801,-1.752852,0.482534
1.794737,4500,25,3.963731,15.931474,-0.091567,-0.993859,-1.729509,-0.080019
1.794737,4500,26,16.616285,19.468344,-0.104591,-0.982018,-1.666267,-0.311216
1.794737,4500,27,19.232896,11.593831,-0.220285,-0.968259,-1.736587,-0.061771
1.794737,4500,28,17.256341,16.648545,-0.157111,-0.981067,-1.67765,0.406737
