eta,paso,particula_id,x,y,theta
1.794737,800,68,7.381497,17.791069,-1.445198
1.794737,800,69,8.73129,10.10854,-0.611771
1.794737,800,70,5.551621,15.320406,-0.477109
1.794737,800,71,7.582396,5.97439,-0.002647
1.794737,800,72,4.421669,14.482139,-0.754094
1.794737,800,73,16.199417,9.54517,-1.56704
1.794737,800,74,6.004329,8.757493,-0.510137
1.794737,800,75,13.52294,7.519615,-0.782366
1.794737,800,76,12.855179,3.929738,-0.823165
1.794737,800,77,6.06946,13.072226,-0.338673
1.794737,800,78,4.942865,3.454348,-0.6018
1.794737,800,79,3.518649,12.212722,-0.27605
1.794737,800,80,11.631805,9.016912,-1.27974
1.794737,800,81,17.890622,6.937939,-0.657962
1.794737,800,82,17.690114,2.162319,-1.643497
1.794737,800,83,3.834939,6.265407,-0.341766
1.794737,800,84,4.318805,14.821111,-0.226611
1.794737,800,85,19.333697,5.216978,-0.974988
1.794737,800,86,10.83406,17.524336,-0.196042
1.794737,800,87,19.927829,19.672337,-0.532256
1.794737,800,88,1.565421,7.935767,-0.057022
1.794737,800,89,10.988724,13.571261,0.004818
1.794737,800,90,16.135517,13.914358,-1.244696
1.794737,800,91,16.869119,7.601269,-1.170769
1.794737,800,92,13.226771,19.203375,-0.608464
1.794737,800,93,17.84208,4.285174,-0.995591
1.794737,800,94,1.903941,13.178812,-1.390905
1.794737,800,95,10.517861,11.123977,-0.565744
1.794737,800,96,8.930028,15.798069,-1.406388
1.794737,800,97,1.272637,10.228328,-1.707254
1.794737,800,98,4.972712,3.915476,-1.546731
1.794737,800,99,4.097987,7.39347,-0.412424
1.794737,800,100,19.012059,5.031964,-1.217018
1.794737,800,101,1.980979,7.61849,-0.271462
1.794737,800,102,14.150488,0.804993,-0.447833
1.794737,800,103,5.506891,3.746573,-0.509177
1.794737,800,104,8.71656,12.570983,-0.799235
1.794737,800,105,11.749772,9.329699,-1.439714
1.794737,800,106,1.526105,17.133027,-0.264047
1.794737,800,107,8.065122,18.99896,-1.463518
1.794737,800,108,0.948911,4.94424,-0.576542
1.794737,800,109,5.493316,17.317861,-1.159274
1.794737,800,110,9.597387,8.415145,-1.414421
1.794737,800,111,19.968253,8.843077,-0.229392
1.794737,800,112,10.103385,4.621868,-0.742434
1.794737,800,113,16.116404,17.588139,-1.42197
1.794737,800,114,15.53203,14.359572,-0.562458
1.794737,800,115,0.089894,12.012512,-1.686094
1.794737,800,116,8.015046,10.650748,-0.575749
1.794737,800,117,17.58048,16.318308,-1.556153
1.794737,800,118,17.444134,4.925428,0.003103
1.794737,800,119,11.605179,4.191084,-0.214466
1.794737,800,120,0.252318,5.146988,-0.870035
1.794737,800,121,7.354616,6.629396,-0.106095
1.794737,800,122,5.18439,16.221787,-1.421133
1.794737,800,123,12.257005,0.58904,-0.026673
1.794737,800,124,16.015179,13.960937,-0.934693
1.794737,800,125,5.005044,10.822424,-0.480042
1.794737,800,126,10.676335,3.184152,-0.63265
1.794737,800,127,2.159535,14.86711,-0.698441
1.794737,800,128,12.588997,15.390399,-1.004948
1.794737,800,129,5.342186,8.006177,-1.651544
1.794737,800,130,3.900996,19.725619,-0.478608
1.794737,800,131,6.002344,8.783311,-1.304771
1.794737,800,132,11.329479,8.558152,-1.584882
1.794737,800,133,16.809087,9.767801,-1.450723
1.794737,800,134,19.21776,18.829632,-0.077924
1.794737,800,135,8.657068,7.115999,-1.536929
1.794737,800,136,16.229068,16.904631,-0.451265
1.794737,800,137,10.855744,11.502611,-0.315864
1.794737,800,138,19.879647,9.704907,-0.527073
1.794737,800,139,10.264867,6.069636,-0.544334
1.794737,800,140,6.731708,3.606886,-1.369662
1.794737,800,141,1.894704,17.167386,0.018909
1.794737,800,142,3.391951,9.784293,-0.553878
1.794737,800,143,12.716974,15.959226,-0.725359
1.794737,800,144,12.385335,1.185318,-0.708039
1.794737,800,145,15.530392,4.828046,-0.463837
1.794737,800,146,14.644273,8.655763,-1.476638
1.794737,800,147,18.65108,11.061374,-1.571056
1.794737,800,148,11.848683,6.095959,-1.363189
1.794737,800,149,10.028635,3.885851,-1.580321
1.692105,800,0,5.586059,16.075694,0.512555
1.692105,800,1,9.159527,8.567261,1.171382
1.692105,800,2,19.903948,4.468529,1.28416
1.692105,800,3,6.578242,14.081373,0.716673
1.692105,800,4,19.089612,0.807352,1.74511
1.692105,800,5,2.331555,1.344071,1.102255
1.692105,800,6,0.846595,11.563037,1.015258
1.692105,800,7,16.556437,5.161986,1.611971
1.692105,800,8,17.326995,16.056673,0.270528
1.692105,800,9,18.82542,3.156124,0.387311
1.692105,800,10,18.923732,15.582021,1.155401
1.692105,800,11,13.030761,17.771781,1.053234
1.692105,800,12,19.157284,17.955324,1.099658
1.692105,800,13,12.737425,3.537915,1.19627
1.692105,800,14,3.883497,15.972471,0.344906
1.692105,800,15,8.363363,16.357491,0.43082
1.692105,800,16,19.647654,13.758717,0.741679
1.692105,800,17,16.089221,19.748427,0.688814
1.692105,800,18,1.291713,15.083414,1.436061
1.692105,800,19,12.759716,13.697645,1.048677
1.692105,800,20,3.536232,16.225984,1.234718
1.692105,800,21,16.350165,5.399785,0.600381
1.692105,800,22,6.439385,4.773655,0.202151
1.692105,800,23,5.322022,10.823853,1.550462
1.692105,800,24,12.167894,2.658604,0.132691
1.692105,800,25,2.829511,4.400065,1.328209
1.692105,800,26,17.917861,10.972643,1.627084
1.692105,800,27,8.170046,8.954706,1.466314
1.692105,800,28,19.875626,2.748704,1.172504
1.692105,800,29,15.110196,1.362222,1.098421
1.692105,800,30,9.517395,18.994257,0.381599
