eta,paso,particula_id,x,y,vx,vy,theta,omega
1.897368,4500,139,11.215971,9.15396,-0.289075,0.433626,-2.032628,0.141588
1.897368,4500,140,11.499836,9.685883,4.322509,3.900406,-2.105512,-0.207826
1.897368,4500,141,11.80166,8.229801,-3.092314,5.599934,-2.074894,0.248522
1.897368,4500,142,11.341167,8.727453,-3.250377,-1.190237,-2.074521,0.178664
1.897368,4500,143,12.000983,8.079322,2.060427,0.231989,-2.111329,0.085438
1.897368,4500,144,11.665211,9.347207,0.25767,-4.054553,-2.108612,-0.16373
1.897368,4500,145,10.178111,8.447271,-4.982677,0.415053,-2.121981,0.001702
1.897368,4500,146,11.215098,7.718778,-2.191118,4.526234,-2.072908,-0.054973
1.897368,4500,147,10.92462,9.708296,-3.099719,0.285784,-2.094279,0.084232
1.897368,4500,148,12.013432,8.601783,1.18629,3.886142,-2.047974,-0.003942
1.897368,4500,149,11.610294,8.041918,4.002093,-2.568199,-2.089816,-0.086377
1.794737,4500,0,0.119518,18.336362,-1.268315,-2.701912,-0.556172,0.122098
1.794737,4500,1,13.979211,3.297668,0.451633,-0.220945,-0.43416,0.067051
1.794737,4500,2,0.697054,18.823408,1.567004,-1.304518,-0.608857,-0.126392
1.794737,4500,3,0.235977,19.304466,1.682107,-1.209661,-0.543321,-0.018357
1.794737,4500,4,0.230211,18.835034,-2.864937,4.332755,-0.577174,0.152769
1.794737,4500,5,19.155917,18.353828,-1.736329,1.168042,-0.558518,0.01744
1.794737,4500,6,19.875539,0.207204,3.525559,-0.83246,-0.591201,-0.147408
1.794737,4500,7,0.874804,18.293192,-0.41551,-2.379023,-0.577789,0.047765
1.794737,4500,8,1.874191,18.682245,1.953982,-1.196537,-0.552329,0.090562
1.794737,4500,9,19.544465,18.295512,3.213907,0.642272,-0.574803,0.171467
1.794737,4500,10,19.155121,0.114731,-3.169761,3.024317,-0.608934,0.21165
1.794737,4500,11,18.619463,18.913932,0.477682,-0.748059,-0.570755,0.244696
1.794737,4500,12,0.440005,18.54983,2.497367,-1.851773,-0.569776,0.115977
1.794737,4500,13,0.993525,17.9671,-1.848116,-1.643906,-0.573804,0.066138
1.794737,4500,14,19.791685,19.124787,2.546261,-0.783149,-0.5865,-0.093244
1.794737,4500,15,19.814278,0.005719,2.243571,-2.455218,-0.578778,0.080479
1.794737,4500,16,18.714565,19.233121,1.644351,0.046457,-0.596164,0.302427
1.794737,4500,17,0.222175,19.027824,0.43169,-4.528235,-0.582922,0.086492
1.794737,4500,18,19.922419,18.485574,-2.878968,-1.089067,-0.59437,0.047432
1.794737,4500,19,19.768324,19.091414,-0.623677,-4.248113,-0.579844,0.107829
1.794737,4500,20,19.750654,19.76412,3.816836,1.080473,-0.568944,0.063087
1.794737,4500,21,0.531736,18.867683,-0.192588,6.74156,-0.588642,0.138042
1.794737,4500,22,19.827255,18.852643,0.250774,0.791178,-0.596856,0.146509
1.794737,4500,23,2.30742,18.114004,-1.348791,-1.477228,-0.580338,-0.099308
1.794737,4500,24,1.559647,17.799372,-0.494569,1.817836,-0.564011,0.031506
1.794737,4500,25,0.156923,19.263371,-0.656948,-2.415854,-0.582688,-0.084774
1.794737,4500,26,0.77906,18.310791,-2.563192,2.924348,-0.585267,-0.12274
1.794737,4500,27,19.970594,19.229623,5.088868,-0.245559,-0.557647,-0.06951
1.794737,4500,28,1.719686,18.653947,-0.124289,3.607678,-0.594294,-0.020701
1.794737,4500,29,1.445376,18.418067,1.917765,0.203185,-0.551052,-0.037122
1.794737,4500,30,0.294558,0.298015,-2.896161,2.223938,-0.612228,0.047014
1.794737,4500,31,0.263496,18.529298,-0.226163,-1.748366,-0.586778,-0.180833
1.794737,4500,32,1.346225,19.381407,3.51865,-3.156922,-0.610367,-0.128292
